id,img_path,artist
0,./train/0000.jpg,Diego Velazquez
1,./train/0001.jpg,Vincent van Gogh
2,./train/0002.jpg,Claude Monet
3,./train/0003.jpg,Edgar Degas
4,./train/0004.jpg,Hieronymus Bosch
5,./train/0005.jpg,Pierre-Auguste Renoir
6,./train/0006.jpg,Rene Magritte
7,./train/0007.jpg,Rene Magritte
8,./train/0008.jpg,Michelangelo
9,./train/0009.jpg,Peter Paul Rubens
10,./train/0010.jpg,Caravaggio
11,./train/0011.jpg,Alfred Sisley
12,./train/0012.jpg,Edouard Manet
13,./train/0013.jpg,Rembrandt
14,./train/0014.jpg,Francisco Goya
15,./train/0015.jpg,Edgar Degas
16,./train/0016.jpg,Vincent van Gogh
17,./train/0017.jpg,Edgar Degas
18,./train/0018.jpg,Pablo Picasso
19,./train/0019.jpg,Titian
20,./train/0020.jpg,Mikhail Vrubel
21,./train/0021.jpg,Leonardo da Vinci
22,./train/0022.jpg,Kazimir Malevich
23,./train/0023.jpg,Alfred Sisley
24,./train/0024.jpg,Pierre-Auguste Renoir
25,./train/0025.jpg,Andy Warhol
26,./train/0026.jpg,Peter Paul Rubens
27,./train/0027.jpg,Francisco Goya
28,./train/0028.jpg,Vasiliy Kandinskiy
29,./train/0029.jpg,Kazimir Malevich
30,./train/0030.jpg,Gustav Klimt
31,./train/0031.jpg,Francisco Goya
32,./train/0032.jpg,Andy Warhol
33,./train/0033.jpg,Pablo Picasso
34,./train/0034.jpg,Amedeo Modigliani
35,./train/0035.jpg,Edgar Degas
36,./train/0036.jpg,Edouard Manet
37,./train/0037.jpg,Pablo Picasso
38,./train/0038.jpg,Henri Rousseau
39,./train/0039.jpg,Salvador Dali
40,./train/0040.jpg,Pieter Bruegel
41,./train/0041.jpg,Vincent van Gogh
42,./train/0042.jpg,Albrecht Du rer
43,./train/0043.jpg,Henri Rousseau
44,./train/0044.jpg,Francisco Goya
45,./train/0045.jpg,Vincent van Gogh
46,./train/0046.jpg,Vincent van Gogh
47,./train/0047.jpg,Paul Gauguin
48,./train/0048.jpg,Henri Rousseau
49,./train/0049.jpg,Peter Paul Rubens
50,./train/0050.jpg,Edgar Degas
51,./train/0051.jpg,Rembrandt
52,./train/0052.jpg,Sandro Botticelli
53,./train/0053.jpg,Pieter Bruegel
54,./train/0054.jpg,Albrecht Du rer
55,./train/0055.jpg,Leonardo da Vinci
56,./train/0056.jpg,Rene Magritte
57,./train/0057.jpg,Leonardo da Vinci
58,./train/0058.jpg,Albrecht Du rer
59,./train/0059.jpg,Vincent van Gogh
60,./train/0060.jpg,Piet Mondrian
61,./train/0061.jpg,Paul Gauguin
62,./train/0062.jpg,Vincent van Gogh
63,./train/0063.jpg,Andy Warhol
64,./train/0064.jpg,Edgar Degas
65,./train/0065.jpg,Eugene Delacroix
66,./train/0066.jpg,Vincent van Gogh
67,./train/0067.jpg,Francisco Goya
68,./train/0068.jpg,Pablo Picasso
69,./train/0069.jpg,Pieter Bruegel
70,./train/0070.jpg,Vincent van Gogh
71,./train/0071.jpg,Paul Klee
72,./train/0072.jpg,Edgar Degas
73,./train/0073.jpg,Rene Magritte
74,./train/0074.jpg,William Turner
75,./train/0075.jpg,Rene Magritte
76,./train/0076.jpg,Marc Chagall
77,./train/0077.jpg,Albrecht Du rer
78,./train/0078.jpg,Pieter Bruegel
79,./train/0079.jpg,Peter Paul Rubens
80,./train/0080.jpg,Edgar Degas
81,./train/0081.jpg,Jan van Eyck
82,./train/0082.jpg,Edgar Degas
83,./train/0083.jpg,Rembrandt
84,./train/0084.jpg,Vincent van Gogh
85,./train/0085.jpg,Paul Gauguin
